count,mean,std,min,max,q25,q75
27,782174.81,250745.94,309200,1414000,576200.0,937600.0
27,1405702.19,474016.18,381379,2048000,1041300.0,1841040.0
23,1851616.52,834705.56,67200,3744120,1616790.0,2111860.0
8,1475492.5,1366676.8,38400,3706260,534400.0,2031800.0
4,983560.0,707769.93,7200,1569340,694635.0,1467775.0
7,838391.43,395528.65,224800,1360000,621000.0,1110170.0
14,1066950.0,594506.92,45960,1733200,628100.0,1548695.0
10,583920.0,169189.86,181560,799200,520165.0,687760.0
21,3828176.1,1421088.09,1428700,5750860,3097340.0,5059460.0
4,682775.0,397934.86,259340,1210740,480725.0,832560.0
13,489735.38,426315.28,3600,1379900,108400.0,722000.0
8,1150679.88,885090.26,110400,2497300,393069.25,1859775.0
8,1143802.5,847234.92,136000,2518820,601020.0,1522880.0
