animal_id,section_id,region_name,area_pixels,file_path
M776,s030,RSPagl,932000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s030_RSPagl.pkl
M776,s030,RSPd,1382000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s030_RSPd.pkl
M776,s030,RSPv,1698400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s030_RSPv.pkl
M776,s031,RSPagl,1414000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s031_RSPagl.pkl
M776,s031,RSPd,2048000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s031_RSPd.pkl
M776,s031,RSPv,1839600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s031_RSPv.pkl
M776,s031,VISa,38400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s031_VISa.pkl
M776,s032,RSPagl,1002400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s032_RSPagl.pkl
M776,s032,RSPd,1738800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s032_RSPd.pkl
M776,s032,RSPv,1666800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s032_RSPv.pkl
M776,s032,VISa,777600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s032_VISa.pkl
M776,s033,RSPagl,1121160,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s033_RSPagl.pkl
M776,s033,RSPd,1872000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s033_RSPd.pkl
M776,s033,RSPv,1796400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s033_RSPv.pkl
M776,s033,VISa,1413680,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s033_VISa.pkl
M776,s034,RSPagl,1102800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s034_RSPagl.pkl
M776,s034,RSPd,1942000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s034_RSPd.pkl
M776,s034,RSPv,1664000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s034_RSPv.pkl
M776,s034,VISa,3335600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s034_VISa.pkl
M776,s035,RSPagl,943200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s035_RSPagl.pkl
M776,s035,RSPd,1871600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s035_RSPd.pkl
M776,s035,RSPv,1675600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s035_RSPv.pkl
M776,s035,VISa,3706260,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s035_VISa.pkl
M776,s035,VISam,224800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s035_VISam.pkl
M776,s035,VISrl,136000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s035_VISrl.pkl
M776,s036,RSPagl,892680,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s036_RSPagl.pkl
M776,s036,RSPd,1695960,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s036_RSPd.pkl
M776,s036,RSPv,1685200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s036_RSPv.pkl
M776,s036,VISa,1597200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s036_VISa.pkl
M776,s036,VISam,483600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s036_VISam.pkl
M776,s036,VISp,1430140,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s036_VISp.pkl
M776,s036,VISrl,617360,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s036_VISrl.pkl
M776,s037,RSPagl,912000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s037_RSPagl.pkl
M776,s037,RSPd,1882400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s037_RSPd.pkl
M776,s037,RSPv,1814000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s037_RSPv.pkl
M776,s037,VISa,601200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s037_VISa.pkl
M776,s037,VISam,1360000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s037_VISam.pkl
M776,s037,VISp,1660920,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s037_VISp.pkl
M776,s037,VISrl,1088800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s037_VISrl.pkl
M776,s038,RSPagl,883600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_RSPagl.pkl
M776,s038,RSPd,1679600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_RSPd.pkl
